,refArea,Existence of educational resources - exists,Type and size of educational resources - vocational institute,Observation URI,references,publisher,Existence of educational resources - does not exist,Nb of universities by type - Lebanese University branches,Public school coverage index (number of schools per citizen),Type and size of educational resources - public schools,Type and size of educational resources - universities,Town,Nb of universities by type - Private universities,dataset,Type and size of educational resources - private schools,Governorate,lat,lon,population,lat_gov,lon_gov
0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-+Bireh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0, Bireh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Mount Lebanon Governorate,33.5847254,35.8198835,1520016,33.737305,35.5998898
1,https://dbpedia.org/page/South_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-A%27ain+El-Mir+%28El+Establ%29,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,A'ain El-Mir (El Establ),0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,South Governorate,,,590078,33.3386412,35.3022517
2,https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-AAridet+Cheikh+Zennad,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,2250,1,0,AAridet Cheikh Zennad,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Akkar Governorate,,,423596,34.5555009,36.2016453
3,https://dbpedia.org/page/North_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aaba,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Aaba,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,North Governorate,34.3439331,35.8302362,807204,34.3317701,35.9436964
4,http://dbpedia.org/resource/Baabda_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aabadiyeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,4000,2,0,Aabadiyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Baabda District,33.8311394,35.6212221,500000,33.8435311,35.7025213
5,http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aabaydat,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Aabaydat,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Byblos District,34.164011,35.7237297,100000,34.1236954,35.6493557
6,https://dbpedia.org/page/Nabatieh_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aabba,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Aabba,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Nabatieh Governorate,33.3617043,35.402686,383839,33.2836203,35.4897793
7,http://dbpedia.org/resource/Tyre_District,1,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aabbesiyyi,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,21500,2,1,Aabbesiyyi,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,14,Tyre District,,,238348,33.2130814,35.2887965
8,http://dbpedia.org/resource/Bsharri_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aabdine,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Aabdine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1,Bsharri District,34.2744752,35.88889,76831,34.2384512,35.9869915
9,http://dbpedia.org/resource/Sidon_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aabra+Saida,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,15000,1,0,Aabra Saida,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,3,Sidon District,,,207500,33.4544542,35.3385676
10,http://dbpedia.org/resource/Batroun_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aabrine,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Aabrine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Batroun District,34.252762,35.7057228,50000,34.247192,35.7255215
11,http://dbpedia.org/resource/Zgharta_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aachach,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Aachach,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,2,Zgharta District,34.4119324,35.9345985,,34.3600901,35.8981343
12,http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aachqout,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Aachqout,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Keserwan District,33.9880578,35.7077229,182834,34.0127349,35.7872377
13,http://dbpedia.org/resource/Marjeyoun_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aadaysseh+Marjaayoun,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Aadaysseh Marjaayoun,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Marjeyoun District,,,41000,33.3640698,35.5871424
14,https://dbpedia.org/page/Nabatieh_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aadchit+Ech-Chqif,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Aadchit Ech-Chqif,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Nabatieh Governorate,,,383839,33.2836203,35.4897793
15,http://dbpedia.org/resource/Marjeyoun_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aadchit+El-Qoussair,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Aadchit El-Qoussair,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Marjeyoun District,33.2708338,35.4877858,41000,33.3640698,35.5871424
16,http://dbpedia.org/resource/Sidon_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aadloun,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Aadloun,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Sidon District,33.3982861,35.2659014,207500,33.4544542,35.3385676
17,http://dbpedia.org/resource/Sidon_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aadoussiyeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,1790,1,0,Aadoussiyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Sidon District,33.4718221,35.3368858,207500,33.4544542,35.3385676
18,https://dbpedia.org/page/North_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aafsdiq,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Aafsdiq,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,North Governorate,34.3311573,35.7874559,807204,34.3317701,35.9436964
19,http://dbpedia.org/resource/Aley_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Aanoub,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,2500,2,0,Ain Aanoub,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Aley District,33.7858185,35.5426135,386320,33.7720489,35.6330158
20,https://dbpedia.org/page/Beqaa_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Aarab+Rachaya,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,700,1,0,Ain Aarab Rachaya,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Beqaa Governorate,,,534342,33.6746204,35.8333757
21,https://dbpedia.org/page/Beqaa_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Aata,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,2170,1,0,Ain Aata,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Beqaa Governorate,33.4361761,35.7789321,534342,33.6746204,35.8333757
22,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Dara,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Ain Dara,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Aley District,33.7807352,35.7247356,386320,33.7720489,35.6330158
23,http://dbpedia.org/resource/Aley_District,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Drafil,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,1,4260,1,1,Ain Drafil,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1,Aley District,33.7478003,35.5080367,386320,33.7720489,35.6330158
24,http://dbpedia.org/resource/Sidon_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Ed-Delb,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,2000,1,0,Ain Ed-Delb,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,2,Sidon District,33.544055,35.4061936,207500,33.4544542,35.3385676
25,http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Ed-Delbe,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ain Ed-Delbe,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Byblos District,34.0287309,35.7638708,100000,34.1236954,35.6493557
26,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Ej-Jdideh+Aaley,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ain Ej-Jdideh Aaley,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Aley District,,,386320,33.7720489,35.6330158
27,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+El+Saydeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ain El Saydeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Aley District,33.79994,35.584723,386320,33.7720489,35.6330158
28,http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+El-Ghouaybeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ain El-Ghouaybeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Byblos District,,,100000,34.1236954,35.6493557
29,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+El-Kharroubeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Ain El-Kharroubeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Matn District,33.9332661,35.7004915,750000,33.9097245,35.7167947
30,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+El-Qabu,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ain El-Qabu,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Matn District,33.9404127,35.7608928,750000,33.9097245,35.7167947
31,http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Er-Rihane,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Ain Er-Rihane,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Keserwan District,,,182834,34.0127349,35.7872377
32,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Er-Roummaneh+Aaley,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ain Er-Roummaneh Aaley,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Aley District,,,386320,33.7720489,35.6330158
